mouse_id,genotype,session_id,seg_id,p_right
522,NL3,5,522__MOUSE DRL__5__NL3__1,0.544444444444444
522,NL3,6,522__MOUSE DRL__6__NL3__1,0.577777777777778
522,NL3,7,522__MOUSE DRL__7__NL3__1,0.533333333333333
522,NL3,8,522__MOUSE DRL__8__NL3__1,0.533333333333333
522,NL3,9,522__MOUSE DRL__9__NL3__1,0.533333333333333
523,NL3,10,523__MOUSE DRL__10__NL3__1,0.511111111111111
523,NL3,11,523__MOUSE DRL__11__NL3__1,0.588888888888889
523,NL3,12,523__MOUSE DRL__12__NL3__1,0.488888888888889
523,NL3,13,523__MOUSE DRL__13__NL3__1,0.6
523,NL3,14,523__MOUSE DRL__14__NL3__1,0.455555555555556
523,NL3,15,523__MOUSE DRL__15__NL3__1,0.466666666666667
523,NL3,1,523__MOUSE DRL__1__NL3__1,0.344444444444444
523,NL3,2,523__MOUSE DRL__2__NL3__1,0.533333333333333
523,NL3,3,523__MOUSE DRL__3__NL3__1,0.433333333333333
523,NL3,4,523__MOUSE DRL__4__NL3__1,0.511111111111111
523,NL3,5,523__MOUSE DRL__5__NL3__1,0.566666666666667
523,NL3,6,523__MOUSE DRL__6__NL3__1,0.533333333333333
523,NL3,7,523__MOUSE DRL__7__NL3__1,0.577777777777778
523,NL3,8,523__MOUSE DRL__8__NL3__1,0.533333333333333
523,NL3,9,523__MOUSE DRL__9__NL3__1,0.555555555555556
524,WT,10,524__MOUSE DRL__10__WT__1,0.433333333333333
524,WT,11,524__MOUSE DRL__11__WT__1,0.533333333333333
524,WT,12,524__MOUSE DRL__12__WT__1,0.466666666666667
524,WT,13,524__MOUSE DRL__13__WT__1,0.411111111111111
524,WT,14,524__MOUSE DRL__14__WT__1,0.455555555555556
524,WT,15,524__MOUSE DRL__15__WT__1,0.488888888888889
524,WT,1,524__MOUSE DRL__1__WT__1,0.455555555555556
524,WT,2,524__MOUSE DRL__2__WT__1,0.455555555555556
524,WT,3,524__MOUSE DRL__3__WT__1,0.466666666666667
524,WT,4,524__MOUSE DRL__4__WT__1,0.366666666666667
524,WT,5,524__MOUSE DRL__5__WT__1,0.466666666666667
524,WT,6,524__MOUSE DRL__6__WT__1,0.511111111111111
524,WT,7,524__MOUSE DRL__7__WT__1,0.444444444444444
524,WT,8,524__MOUSE DRL__8__WT__1,0.4
524,WT,9,524__MOUSE DRL__9__WT__1,0.422222222222222
525,WT,10,525__MOUSE DRL__10__WT__1,0.522222222222222
525,WT,11,525__MOUSE DRL__11__WT__1,0.6
525,WT,12,525__MOUSE DRL__12__WT__1,0.566666666666667
525,WT,13,525__MOUSE DRL__13__WT__1,0.544444444444444
525,WT,14,525__MOUSE DRL__14__WT__1,0.433333333333333
525,WT,15,525__MOUSE DRL__15__WT__1,0.5
525,WT,1,525__MOUSE DRL__1__WT__1,0.455555555555556
525,WT,2,525__MOUSE DRL__2__WT__1,0.566666666666667
525,WT,3,525__MOUSE DRL__3__WT__1,0.555555555555556
525,WT,4,525__MOUSE DRL__4__WT__1,0.488888888888889
525,WT,5,525__MOUSE DRL__5__WT__1,0.533333333333333
525,WT,6,525__MOUSE DRL__6__WT__1,0.488888888888889
525,WT,7,525__MOUSE DRL__7__WT__1,0.477777777777778
525,WT,8,525__MOUSE DRL__8__WT__1,0.411111111111111
525,WT,9,525__MOUSE DRL__9__WT__1,0.455555555555556
531,WT,10,531__MOUSE DRL__10__WT__1,0.488888888888889
531,WT,11,531__MOUSE DRL__11__WT__1,0.522222222222222
531,WT,12,531__MOUSE DRL__12__WT__1,0.466666666666667
531,WT,13,531__MOUSE DRL__13__WT__1,0.522222222222222
531,WT,1,531__MOUSE DRL__1__WT__1,0.577777777777778
531,WT,2,531__MOUSE DRL__2__WT__1,0.466666666666667
531,WT,3,531__MOUSE DRL__3__WT__1,0.522222222222222
531,WT,4,531__MOUSE DRL__4__WT__1,0.5
531,WT,5,531__MOUSE DRL__5__WT__1,0.422222222222222
531,WT,6,531__MOUSE DRL__6__WT__1,0.488888888888889
531,WT,7,531__MOUSE DRL__7__WT__1,0.422222222222222
531,WT,8,531__MOUSE DRL__8__WT__1,0.5
531,WT,9,531__MOUSE DRL__9__WT__1,0.577777777777778
532,WT,10,532__MOUSE DRL__10__WT__1,0.522222222222222
532,WT,11,532__MOUSE DRL__11__WT__1,0.455555555555556
532,WT,12,532__MOUSE DRL__12__WT__1,0.5
532,WT,13,532__MOUSE DRL__13__WT__1,0.544444444444444
532,WT,14,532__MOUSE DRL__14__WT__1,0.488888888888889
532,WT,15,532__MOUSE DRL__15__WT__1,0.488888888888889
532,WT,16,532__MOUSE DRL__16__WT__1,0.411111111111111
532,WT,1,532__MOUSE DRL__1__WT__1,0.522222222222222
532,WT,2,532__MOUSE DRL__2__WT__1,0.566666666666667
532,WT,3,532__MOUSE DRL__3__WT__1,0.444444444444444
532,WT,4,532__MOUSE DRL__4__WT__1,0.555555555555556
532,WT,5,532__MOUSE DRL__5__WT__1,0.533333333333333
532,WT,6,532__MOUSE DRL__6__WT__1,0.511111111111111
532,WT,7,532__MOUSE DRL__7__WT__1,0.544444444444444
532,WT,8,532__MOUSE DRL__8__WT__1,0.466666666666667
532,WT,9,532__MOUSE DRL__9__WT__1,0.4
533,WT,10,533__MOUSE DRL__10__WT__1,0.511111111111111
533,WT,11,533__MOUSE DRL__11__WT__1,0.488888888888889
533,WT,12,533__MOUSE DRL__12__WT__1,0.444444444444444
533,WT,13,533__MOUSE DRL__13__WT__1,0.533333333333333
533,WT,14,533__MOUSE DRL__14__WT__1,0.466666666666667
533,WT,15,533__MOUSE DRL__15__WT__1,0.488888888888889
533,WT,16,533__MOUSE DRL__16__WT__1,0.522222222222222
533,WT,1,533__MOUSE DRL__1__WT__1,0.477777777777778
533,WT,2,533__MOUSE DRL__2__WT__1,0.433333333333333
533,WT,3,533__MOUSE DRL__3__WT__1,0.522222222222222
533,WT,4,533__MOUSE DRL__4__WT__1,0.5
533,WT,5,533__MOUSE DRL__5__WT__1,0.533333333333333
533,WT,6,533__MOUSE DRL__6__WT__1,0.555555555555556
533,WT,7,533__MOUSE DRL__7__WT__1,0.511111111111111
533,WT,8,533__MOUSE DRL__8__WT__1,0.511111111111111
533,WT,9,533__MOUSE DRL__9__WT__1,0.6
537,NL3,10,537__MOUSE DRL__10__NL3__1,0.477777777777778
537,NL3,11,537__MOUSE DRL__11__NL3__1,0.444444444444444
537,NL3,12,537__MOUSE DRL__12__NL3__1,0.544444444444444
537,NL3,13,537__MOUSE DRL__13__NL3__1,0.444444444444444
537,NL3,14,537__MOUSE DRL__14__NL3__1,0.5
537,NL3,15,537__MOUSE DRL__15__NL3__1,0.488888888888889
537,NL3,1,537__MOUSE DRL__1__NL3__1,0.544444444444444
537,NL3,2,537__MOUSE DRL__2__NL3__1,0.349206349206349
537,NL3,3,537__MOUSE DRL__3__NL3__1,0.450704225352113
537,NL3,4,537__MOUSE DRL__4__NL3__1,0.477777777777778
537,NL3,5,537__MOUSE DRL__5__NL3__1,0.511111111111111
537,NL3,6,537__MOUSE DRL__6__NL3__1,0.477777777777778
537,NL3,7,537__MOUSE DRL__7__NL3__1,0.466666666666667
537,NL3,8,537__MOUSE DRL__8__NL3__1,0.533333333333333
537,NL3,9,537__MOUSE DRL__9__NL3__1,0.466666666666667
543,NL3,10,543__MOUSE DRL__10__NL3__1,0.477777777777778
