"Bin Center","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine"
40,0.9970703125,0.9971098266,0.9949849549,0.9906542056,0.9739726027,0.9732142857,0.9847094801,0.9975669100,0.9758454106,0.9787765293,0.98502994011976,0.99568034557235,0.98327759197324,0.96531791907515,0.99400000000000,0.96923076923077,0.98984771573604,0.97775628626693,,,1.00000000000000,0.95702479338843,0.99194476409666,0.98503521126761,0.95821727019499,0.97926267281106,0.99065420560748,0.99755501222494,0.99062500000000,0.98393077873918,0.99778270509978,0.98891966759003,0.97335203366059,0.98776758409786,0.98899889988999,0.99418604651163,0.99377593360996,0.97167487684729,,
42,0.9970703125,0.9985549133,0.9959879639,0.9906542056,0.9808219178,0.9821428571,0.9877675841,0.9975669100,0.9758454106,0.9850187266,0.98802395209581,0.99568034557235,0.99163879598662,0.96531791907515,0.99600000000000,0.96923076923077,0.99153976311337,0.98162475822050,,,1.00000000000000,0.96363636363636,0.99194476409666,0.98767605633803,0.96378830083566,0.98387096774194,0.99532710280374,0.99755501222494,0.99062500000000,0.98393077873918,0.99778270509978,0.98891966759003,0.97615708274895,0.98980632008155,0.99339933993399,0.99709302325581,0.99377593360996,0.97783251231527,,
44,0.9980468750,0.9985549133,0.9969909729,0.9906542056,0.9876712329,0.9857142857,0.9908256881,0.9975669100,0.9806763285,0.9875156055,0.98802395209581,0.99568034557235,0.99331103678930,0.96531791907515,0.99600000000000,0.97948717948718,0.99153976311337,0.98259187620890,,,1.00000000000000,0.97024793388430,0.99309551208285,0.99207746478873,0.96935933147632,0.98847926267281,0.99532710280374,0.99755501222494,0.99062500000000,0.98887515451174,0.99778270509978,0.99168975069252,0.98457223001403,0.99184505606524,0.99669966996700,0.99709302325581,1.00000000000000,0.98029556650246,,
46,0.9980468750,0.9985549133,0.9969909729,0.9906542056,0.9904109589,0.9875000000,0.9969418960,0.9975669100,0.9855072464,0.9925093633,0.99101796407186,0.99568034557235,0.99498327759197,0.96531791907515,0.99800000000000,0.97948717948718,0.99153976311337,0.98549323017408,,,1.00000000000000,0.97190082644628,0.99654775604143,0.99383802816901,0.97353760445682,0.99078341013825,0.99532710280374,0.99755501222494,0.99062500000000,0.98887515451174,0.99778270509978,0.99445983379501,0.98457223001403,0.99286442405709,0.99779977997800,1.00000000000000,1.00000000000000,0.98522167487685,,
48,0.9980468750,0.9985549133,0.9969909729,0.9937694704,0.9917808219,0.9875000000,0.9969418960,1.0000000000,0.9855072464,0.9925093633,0.99401197604790,0.99568034557235,0.99498327759197,0.97109826589595,0.99800000000000,0.97948717948718,0.99153976311337,0.98839458413927,,,1.00000000000000,0.97520661157025,0.99654775604143,0.99559859154930,0.97632311977716,0.99308755760369,0.99532710280374,0.99755501222494,0.99062500000000,0.99258343634116,0.99778270509978,0.99445983379501,0.98877980364656,0.99490316004078,0.99889988998900,1.00000000000000,1.00000000000000,0.99014778325123,,
50,0.9990234375,0.9985549133,0.9969909729,0.9937694704,0.9945205479,0.9910714286,1.0000000000,1.0000000000,0.9903381643,0.9950062422,0.99700598802395,0.99568034557235,0.99665551839465,0.97109826589595,0.99800000000000,0.97948717948718,0.99492385786802,0.99032882011605,,,1.00000000000000,0.97851239669422,0.99654775604143,0.99735915492958,0.98607242339833,0.99539170506912,0.99532710280374,1.00000000000000,0.99375000000000,0.99381953028430,0.99778270509978,0.99445983379501,0.99018232819074,0.99490316004078,0.99889988998900,1.00000000000000,1.00000000000000,0.99261083743842,,
52,1.0000000000,1.0000000000,0.9979939819,0.9937694704,0.9958904110,0.9928571429,1.0000000000,1.0000000000,0.9903381643,0.9962546816,0.99700598802395,0.99568034557235,0.99832775919732,0.98265895953757,0.99800000000000,0.98974358974359,0.99492385786802,0.99226305609284,,,1.00000000000000,0.98181818181818,0.99769850402762,0.99735915492958,0.98885793871866,0.99539170506912,0.99532710280374,1.00000000000000,0.99375000000000,0.99381953028430,0.99778270509978,0.99722991689751,0.99298737727910,0.99490316004078,0.99889988998900,1.00000000000000,1.00000000000000,0.99507389162562,,
54,1.0000000000,1.0000000000,0.9979939819,0.9953271028,0.9958904110,0.9928571429,1.0000000000,1.0000000000,0.9903381643,0.9962546816,0.99700598802395,0.99568034557235,0.99832775919732,0.98265895953757,0.99800000000000,0.99487179487180,0.99492385786802,0.99323017408124,,,1.00000000000000,0.98347107438017,0.99769850402762,0.99823943661972,0.99025069637883,0.99769585253456,1.00000000000000,1.00000000000000,0.99687500000000,0.99505562422744,0.99778270509978,0.99722991689751,0.99438990182328,0.99592252803262,1.00000000000000,1.00000000000000,1.00000000000000,0.99753694581281,,
56,1.0000000000,1.0000000000,0.9979939819,0.9968847352,0.9958904110,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9962546816,0.99700598802395,0.99568034557235,0.99832775919732,0.98265895953757,0.99800000000000,0.99487179487180,0.99492385786802,0.99516441005803,,,1.00000000000000,0.98347107438017,0.99769850402762,0.99911971830986,0.99164345403900,0.99769585253456,1.00000000000000,1.00000000000000,0.99687500000000,0.99752781211372,0.99778270509978,0.99722991689751,0.99579242636746,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,0.99753694581281,,
58,1.0000000000,1.0000000000,0.9989969910,0.9968847352,0.9958904110,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9975031211,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,0.99487179487180,0.99492385786802,0.99613152804642,,,1.00000000000000,0.98512396694215,0.99769850402762,0.99911971830986,0.99442896935933,1.00000000000000,1.00000000000000,1.00000000000000,0.99687500000000,0.99752781211372,0.99778270509978,0.99722991689751,0.99579242636746,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,0.99876847290640,,
