"Bin Center","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine"
1000,1.00000000000000,0.99855282199711,0.99899598393574,0.99688473520249,0.99726402188783,0.99821428571429,0.94478527607362,0.96341463414634,0.82038834951456,1.00000000000000,0.95195195195195,0.98272138228942,0.99832495812395,0.79532163742690,0.97995991983968,0.84020618556701,0.99493243243243,1.00000000000000,,,0.98698481561822,0.99504132231405,1.00000000000000,1.00000000000000,0.99860529986053,0.97459584295612,0.83177570093458,0.98039215686275,0.94375000000000,1.00000000000000,0.98222222222222,0.95555555555556,0.99859943977591,1.00000000000000,1.00000000000000,0.94460641399417,0.97920997920998,0.99878640776699,,
1050,1.00000000000000,0.99855282199711,1.00000000000000,1.00000000000000,0.99726402188783,0.99821428571429,0.94785276073620,0.97073170731707,0.82524271844660,1.00000000000000,0.95495495495496,0.98488120950324,0.99832495812395,0.80701754385965,0.98196392785571,0.85051546391753,0.99493243243243,1.00000000000000,,,0.99132321041215,0.99504132231405,1.00000000000000,1.00000000000000,1.00000000000000,0.97921478060046,0.84112149532710,0.98284313725490,0.96250000000000,1.00000000000000,0.98666666666667,0.96388888888889,0.99859943977591,1.00000000000000,1.00000000000000,0.95626822157434,0.98336798336798,0.99878640776699,,
1100,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99726402188783,0.99821428571429,0.95398773006135,0.97317073170732,0.83009708737864,1.00000000000000,0.95795795795796,0.98488120950324,0.99832495812395,0.83040935672515,0.98597194388778,0.86082474226804,0.99662162162162,1.00000000000000,,,0.99132321041215,0.99834710743802,1.00000000000000,1.00000000000000,1.00000000000000,0.98383371824480,0.85981308411215,0.99019607843137,0.97187500000000,1.00000000000000,0.98888888888889,0.97500000000000,0.99859943977591,1.00000000000000,1.00000000000000,0.96793002915452,0.98544698544699,1.00000000000000,,
1150,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99726402188783,1.00000000000000,0.95705521472393,0.98536585365854,0.84951456310680,1.00000000000000,0.95795795795796,0.98704103671706,0.99832495812395,0.83625730994152,0.98997995991984,0.87113402061856,0.99662162162162,1.00000000000000,,,0.99132321041215,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98614318706698,0.87383177570094,0.99264705882353,0.97812500000000,1.00000000000000,0.98888888888889,0.97777777777778,0.99859943977591,1.00000000000000,1.00000000000000,0.97376093294461,0.98960498960499,1.00000000000000,,
1200,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99726402188783,1.00000000000000,0.96625766871166,0.98780487804878,0.87864077669903,1.00000000000000,0.96096096096096,0.99136069114471,0.99832495812395,0.83625730994152,0.99599198396794,0.89175257731959,0.99662162162162,1.00000000000000,,,0.99132321041215,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99307159353349,0.87850467289720,0.99754901960784,0.98437500000000,1.00000000000000,0.98888888888889,0.98611111111111,1.00000000000000,1.00000000000000,1.00000000000000,0.97667638483965,0.99168399168399,1.00000000000000,,
1250,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99863201094391,1.00000000000000,0.97546012269939,0.99024390243902,0.88834951456311,1.00000000000000,0.96396396396396,0.99568034557235,0.99832495812395,0.84210526315790,0.99599198396794,0.89690721649485,0.99662162162162,1.00000000000000,,,0.99783080260304,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99307159353349,0.88317757009346,0.99754901960784,0.98750000000000,1.00000000000000,0.98888888888889,0.98888888888889,1.00000000000000,1.00000000000000,1.00000000000000,0.97959183673469,0.99168399168399,1.00000000000000,,
1300,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99863201094391,1.00000000000000,0.98159509202454,0.99024390243902,0.89805825242719,1.00000000000000,0.96396396396396,0.99784017278618,0.99832495812395,0.85380116959064,0.99599198396794,0.89690721649485,0.99831081081081,1.00000000000000,,,0.99783080260304,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.88785046728972,0.99754901960784,0.99062500000000,1.00000000000000,0.98888888888889,0.99166666666667,1.00000000000000,1.00000000000000,1.00000000000000,0.98250728862974,0.99376299376299,1.00000000000000,,
1350,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99863201094391,1.00000000000000,0.98159509202454,0.99024390243902,0.90291262135922,1.00000000000000,0.96696696696697,0.99784017278618,1.00000000000000,0.86549707602339,0.99799599198397,0.90721649484536,0.99831081081081,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.89719626168224,1.00000000000000,0.99062500000000,1.00000000000000,0.98888888888889,0.99166666666667,1.00000000000000,1.00000000000000,1.00000000000000,0.98250728862974,0.99584199584200,1.00000000000000,,
1400,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99863201094391,1.00000000000000,0.98466257668712,0.99024390243902,0.91747572815534,1.00000000000000,0.96696696696697,0.99784017278618,1.00000000000000,0.86549707602339,0.99799599198397,0.91752577319588,0.99831081081081,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.90654205607477,1.00000000000000,0.99062500000000,1.00000000000000,0.99111111111111,0.99444444444444,1.00000000000000,1.00000000000000,1.00000000000000,0.98250728862974,0.99584199584200,1.00000000000000,,
1450,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98466257668712,0.99756097560976,0.91747572815534,1.00000000000000,0.97597597597598,0.99784017278618,1.00000000000000,0.86549707602339,1.00000000000000,0.91752577319588,0.99831081081081,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.92056074766355,1.00000000000000,0.99375000000000,1.00000000000000,0.99111111111111,0.99444444444444,1.00000000000000,1.00000000000000,1.00000000000000,0.98542274052478,0.99584199584200,1.00000000000000,,
